1,Python,Lenguaje de programación,"Lenguaje multiparadigma usado para desarrollo web, data science, automatización, etc."
2,Java,Lenguaje de programación,"Lenguaje robusto usado en aplicaciones empresariales y sistemas backend."
3,C++,Lenguaje de programación,"Utilizado en aplicaciones de alto rendimiento y desarrollo de software de sistemas."
4,JavaScript,Lenguaje de programación,"Lenguaje esencial para el desarrollo web y aplicaciones interactivas."
5,HTML/CSS,Tecnologías web,"Tecnologías básicas para la estructuración y diseño de sitios web."
6,React,Biblioteca de JavaScript,"Utilizada para crear interfaces de usuario interactivas y componentes reutilizables."
7,Angular,Framework de JavaScript,"Framework para construir aplicaciones web de una sola página."
8,Node.js,Entorno de ejecución,"Permite ejecutar JavaScript en el servidor, ideal para aplicaciones escalables."
9,SQL,Lenguaje de consulta,"Lenguaje estándar para la gestión de bases de datos relacionales."
10,NoSQL,Tecnología de base de datos,"Sistemas de gestión de datos no relacionales para estructuras flexibles."
11,Docker,Herramienta de contenedores,"Facilita la creación, despliegue y gestión de contenedores."
12,Kubernetes,Orquestador de contenedores,"Automatiza el despliegue, escalado y administración de aplicaciones en contenedores."
13,TensorFlow,Biblioteca de Machine Learning,"Framework de código abierto para construir modelos de machine learning y deep learning."
14,PyTorch,Biblioteca de Machine Learning,"Conocida por su flexibilidad y eficiencia en el desarrollo de modelos de deep learning."
15,Scikit-learn,Biblioteca de Machine Learning,"Ideal para tareas de análisis de datos, clasificación, regresión y clustering."
16,Pandas,Biblioteca de análisis de datos,"Facilita la manipulación y análisis de datos en Python."
17,Big Data,Tecnología,"Competencia en el manejo y análisis de grandes volúmenes de datos."
18,DevOps,Metodología,"Integra procesos de desarrollo y operaciones para mejorar la entrega continua."
19,Agile/Scrum,Metodología de gestión,"Metodologías ágiles para la gestión de proyectos y desarrollo iterativo."
20,Cloud Computing,Competencia,"Gestión y despliegue de servicios en la nube (AWS, Azure, Google Cloud)."
21,Ruby,Lenguaje de programación,"Lenguaje dinámico y orientado a objetos, conocido por su sintaxis legible."
22,PHP,Lenguaje de programación,"Utilizado principalmente en el desarrollo web del lado del servidor."
23,R,Lenguaje de programación,"Orientado al análisis estadístico y visualización de datos."
24,Swift,Lenguaje de programación,"Lenguaje para el desarrollo de aplicaciones iOS y macOS."
25,Kotlin,Lenguaje de programación,"Lenguaje moderno para el desarrollo de aplicaciones Android."
26,Git,Sistema de control de versiones,"Herramienta esencial para el seguimiento de cambios en proyectos de software."
27,Linux,Sistema operativo,"Sistema operativo de código abierto utilizado en servidores y desarrollo."
28,REST APIs,Arquitectura de servicios,"Diseño de interfaces que permiten la comunicación entre sistemas mediante HTTP."
29,GraphQL,Lenguaje de consulta para APIs,"Permite realizar consultas flexibles y eficientes a través de APIs."
30,Microservicios,Arquitectura de software,"Enfoque para desarrollar aplicaciones como una colección de servicios pequeños e independientes."
31,IoT,Internet de las Cosas,"Conecta dispositivos físicos a internet para intercambiar datos y automatizar procesos."
32,Flutter,Framework de desarrollo móvil,"Framework de Google para crear aplicaciones nativas en múltiples plataformas."
33,TypeScript,Lenguaje de programación,"Superset de JavaScript que añade tipado estático para mejorar el desarrollo."
34,jQuery,Biblioteca de JavaScript,"Facilita la manipulación del DOM y el manejo de eventos en aplicaciones web."
35,Bootstrap,Framework CSS,"Framework para diseño responsivo y desarrollo de interfaces web modernas."
36,AWS,Plataforma de Cloud Computing,"Servicios en la nube de Amazon para infraestructura, almacenamiento y computación."
37,Azure,Plataforma de Cloud Computing,"Servicios en la nube de Microsoft para soluciones empresariales."
38,Google Cloud,Plataforma de Cloud Computing,"Servicios en la nube de Google para infraestructura, análisis y desarrollo."
39,CI/CD,Metodología,"Integración y entrega continua para automatizar el ciclo de vida del software."
40,Jenkins,Herramienta de CI/CD,"Automatiza procesos de integración y despliegue en proyectos de software."
41,Maven,Herramienta de gestión de proyectos,"Utilizado en el ecosistema Java para la gestión y construcción de proyectos."
42,Gradle,Herramienta de automatización,"Herramienta flexible para la automatización de la construcción de proyectos."
43,Spring Boot,Framework de Java,"Framework que simplifica la creación de aplicaciones basadas en Java."
44,.NET,Framework de desarrollo,"Plataforma de desarrollo de Microsoft para construir aplicaciones de diversos tipos."
45,C#,Lenguaje de programación,"Lenguaje orientado a objetos, principalmente usado en el ecosistema .NET."
46,MATLAB,Entorno de cálculo numérico,"Utilizado para análisis numérico, visualización y programación científica."
47,SAS,Herramienta de análisis estadístico,"Software para análisis avanzado de datos y estadística."
48,Power BI,Herramienta de inteligencia de negocios,"Plataforma de Microsoft para análisis de datos y visualización interactiva."
49,Tableau,Herramienta de visualización de datos,"Herramienta para crear dashboards y reportes interactivos."
50,Elasticsearch,Motor de búsqueda,"Motor de búsqueda y análisis distribuido para grandes volúmenes de datos."
